AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-4.6112323,-1.3910311,17.140089,-5.6943293,-3.3595848,18.762157,0.54919004,2.1098115,9.561249,2.4804683,-1.9920446,0.25726137,0.05962277,-0.106460676,-0.68807524,0.71530664,downstairs
2.111686,3.6343982,5.8107276,1.2565241,0.977165,-3.59024,0.85516185,2.6572332,9.400968,-0.101200126,0.21198763,0.20133498,0.06949989,-0.12591189,-0.67822444,0.72064394,downstairs
0.4357447,2.6264393,8.671799,-0.26187053,0.19716454,-0.6123352,0.6545196,2.5489848,9.446939,-0.32650355,0.17204021,-0.18961707,0.07209506,-0.11464047,-0.6811843,0.7194775,downstairs
-1.9177556,1.6232687,10.3932295,-2.764082,-0.72242165,0.9742508,0.7745005,2.4390643,9.466863,0.123038046,-1.3624732,-0.1784318,0.06261972,-0.11577165,-0.6883007,0.7133848,downstairs
2.755726,1.9512744,7.3909006,1.3235592,-0.4996364,-1.9959164,1.4321669,2.4509108,9.386817,-0.46232477,-0.90014845,-0.5139901,0.0380321,-0.14127676,-0.6950094,0.7039577,downstairs
4.462792,5.753267,5.8562174,2.4761229,3.7346563,-3.5325394,1.9866691,2.0186105,9.388757,-2.2365227,-2.062352,-0.9582054,-0.001585893,-0.14595938,-0.7125872,0.68623096,downstairs
3.2632968,5.6670756,11.791444,0.63810706,4.2307687,2.698021,2.7640536,1.4482781,9.296929,-1.4919028,-1.361408,-1.0178602,-0.056704007,-0.15090795,-0.7362643,0.65721107,downstairs
4.3622355,1.7525556,4.2664676,-0.047574997,1.0673615,-4.2439694,3.6173298,1.1712171,9.039556,-2.4543693,-3.7923415,-0.61412495,-0.1197754,-0.17173663,-0.7531032,0.62369555,downstairs
5.497087,0.4309563,8.846576,0.15931034,0.17651245,0.62381554,5.3377767,0.25444385,8.22276,-2.2961776,-2.2509038,-1.5211977,-0.21838808,-0.1818311,-0.7651875,0.5776957,downstairs
1.7621324,-2.657564,6.6271505,-4.2248883,-2.9324846,-1.1118984,6.0684237,0.20788316,7.7007413,0.068176925,-2.9838057,-1.4258565,-0.26331744,-0.19502673,-0.7780318,0.5359991,downstairs
3.5936968,-1.1300632,6.6654577,-4.2497787,-2.0829558,-0.5600867,7.101273,0.80205786,6.7155795,1.7038904,-4.5428205,-2.2077606,-0.30552602,-0.25348487,-0.7676736,0.5030671,downstairs
3.5793316,1.412579,7.627927,-4.311077,-0.74323773,2.4788556,8.060397,2.4694571,5.010207,2.4639566,-5.1841097,-3.4669032,-0.33778352,-0.36118254,-0.75359887,0.4330569,downstairs
10.342952,5.7724204,3.3925838,2.011343,1.6332283,0.29068494,8.331609,4.139192,3.101899,-0.12463594,-4.9470882,-3.8573227,-0.36680424,-0.4553041,-0.7368895,0.33933288,downstairs
11.791444,4.8027687,4.55856,3.4825373,-0.31025028,2.8556085,8.11737,5.122596,2.0094094,-0.9805759,-2.117213,-1.5515577,-0.4052091,-0.4830675,-0.7392091,0.23668824,downstairs
12.363658,4.6495395,-0.20350714,4.182373,-0.6542206,-1.7434702,8.075939,5.277424,1.7602296,0.10759171,-0.968858,-0.015978966,-0.42130163,-0.48245022,-0.7392729,0.20790003,downstairs
12.34211,5.070919,-1.340753,4.044442,0.001858711,-2.6150155,8.2976675,5.0690603,1.2742624,0.83889574,-0.20985709,0.47191215,-0.44006312,-0.49129945,-0.7198365,0.21634425,downstairs
8.403648,6.217742,-6.6774287,0.17161179,1.5412121,-7.3893447,8.524129,4.7315965,1.0590754,0.340352,0.2615224,1.0173275,-0.44603646,-0.49704495,-0.70349646,0.24308571,downstairs
8.884883,6.3709707,-2.3630772,0.07765293,2.3248458,-3.500856,8.687519,4.522571,0.49373862,1.3278521,-0.05273059,0.070307456,-0.4624856,-0.5108164,-0.6794928,0.2519194,downstairs
10.630256,5.1259856,-1.6352397,0.9985399,1.3240504,-1.4318647,8.702765,4.520196,0.009708908,0.664725,0.18855181,0.43303,-0.4625596,-0.5343628,-0.6574473,0.2612625,downstairs
13.172897,2.791639,1.2665327,4.044898,-1.3997684,0.92069685,8.838302,4.2488685,0.044166476,0.6631271,1.9419771,0.44528055,-0.45672607,-0.53772616,-0.6475207,0.28804323,downstairs
9.232041,3.7972038,-1.6352397,0.003829002,-0.17148256,-2.1152918,8.9002075,4.030936,0.8415765,0.020240024,1.6628778,0.81705785,-0.42228273,-0.52798563,-0.6566237,0.33429584,downstairs
10.630256,2.858677,-2.207454,-2.039638,0.6152456,-2.180245,9.090562,3.4908102,1.1603152,-2.1571605,-1.1808456,0.9917612,-0.4354403,-0.5012306,-0.66017544,0.35118097,downstairs
6.081272,3.502717,-0.79487497,-2.8414826,1.7829869,-1.8015378,9.108606,3.4613836,1.1056694,-1.2575446,-0.39947417,-0.36325517,-0.45935878,-0.48230287,-0.6727464,0.32215798,downstairs
2.1021092,5.719748,3.110068,3.945054,0.046242237,-1.5748537,8.884492,3.8214962,1.6224548,1.0386329,2.1779332,-0.13262543,-0.43218875,-0.48009446,-0.6933433,0.31937015,downstairs
12.028469,5.463568,2.4540567,4.2528553,1.5211077,0.30040777,8.788362,3.9376721,1.8519796,0.67697555,2.7233486,-0.90920323,-0.4083853,-0.48866835,-0.6930838,0.33772698,downstairs
9.277532,6.5960255,3.3758245,0.39857006,1.7378874,0.12703013,8.35942,4.3194427,2.7627714,-0.14327806,2.2471755,-0.6380934,-0.3547349,-0.48301244,-0.7171791,0.35569137,downstairs
4.6471453,5.638345,0.59855044,-0.9972758,0.41303158,-1.6636496,7.4891434,4.9383316,3.9618185,-2.6312032,1.6575515,-2.3515713,-0.293619,-0.46020794,-0.76505446,0.34159675,downstairs
4.280833,1.1994951,5.353435,-2.3541288,-3.4090934,0.8941326,6.989303,5.00842,4.7154818,-1.230913,0.93157375,-1.4088123,-0.282886,-0.42373678,-0.8052037,0.30342996,downstairs
4.213795,1.496376,3.7565024,-2.9535377,-3.6619759,-1.4368937,6.743559,5.041036,5.0281963,-0.72171664,-0.5837649,-1.015197,-0.27857217,-0.4074689,-0.8229928,0.28115746,downstairs
6.7564373,2.7102363,3.169923,-2.1576953,-2.1443334,-1.781595,6.624865,5.180986,5.0437045,-0.52464277,-0.70147663,-1.3289174,-0.27720365,-0.40743193,-0.8287594,0.2651706,downstairs
4.865018,5.619191,6.373365,-1.7153311,0.16241264,1.5678506,6.580349,5.4567785,4.8055143,0.3057309,-2.005893,-1.0620687,-0.2842857,-0.41733512,-0.82941246,0.23893099,downstairs
3.2585084,7.141904,5.0517654,-4.2803125,0.7011833,2.9405155,6.482978,6.0121584,4.2420897,0.6876282,-2.1470406,-1.6964337,-0.29567736,-0.44304457,-0.8231602,0.19670722,downstairs
10.644621,8.537724,1.7070658,4.7865086,1.71274,-1.4326763,6.521306,6.3389606,3.6688607,0.07989483,0.017044231,0.020240024,-0.31511062,-0.46221796,-0.81216776,0.16566077,downstairs
6.2847795,7.517793,3.928885,-0.3231659,1.1195154,0.51257634,6.600763,6.30251,3.588691,-0.1667139,-0.60293967,0.13741912,-0.32327247,-0.46100172,-0.81044483,0.16171461,downstairs
6.777985,7.740454,2.813187,0.08856869,1.463964,-0.654922,6.6894164,6.27649,3.468109,0.15286545,-0.103863284,0.18429075,-0.3322673,-0.46127442,-0.807419,0.15779406,downstairs
7.4483614,6.2368956,2.6719291,0.65232563,0.021065712,-1.0171714,6.7218156,6.2373776,3.4760165,-0.09321064,0.5949502,0.19707392,-0.33407316,-0.4595298,-0.80747664,0.15877306,downstairs
7.240066,7.1730285,2.966416,0.6988206,0.94941044,-0.65240693,6.641802,6.199676,3.6906488,0.003728426,1.206412,0.17470337,-0.31890616,-0.45541623,-0.8134115,0.17104651,downstairs
5.662287,6.9240313,2.8443117,-0.69496727,0.7421799,-1.3438148,6.3572545,6.1818514,4.1881266,-0.1272991,2.171009,0.25086978,-0.28903404,-0.4504712,-0.82267326,0.19168639,downstairs
4.7405195,9.124303,6.181829,-0.38368654,3.0604506,3.0628805,5.7012086,6.209898,5.0103674,0.18801917,3.6906087,-0.32490566,-0.23189518,-0.4367688,-0.8411457,0.218933,downstairs
3.181894,6.600814,7.800309,-1.3738518,0.18259335,2.318509,4.8717804,6.401461,5.6086926,0.37444046,2.3611586,-0.12996227,-0.16589081,-0.43187556,-0.85108495,0.24823003,downstairs
4.0078936,5.8681884,6.2512608,-0.14114332,-0.66589594,0.22949791,4.149037,6.5340843,6.021763,0.59867865,2.3558323,0.11664646,-0.112484254,-0.42464438,-0.85639626,0.2713115,downstairs
3.3973722,5.8203044,6.0142345,-0.27271867,-0.77935696,-0.24238491,3.670091,6.5996614,6.2566195,0.025033714,1.29909,0.29614353,-0.07434577,-0.41889605,-0.8556061,0.29485086,downstairs
3.2920272,5.4180784,6.88333,-0.13341665,-1.1667442,0.69574785,3.4517803,6.5465155,6.434185,0.108124346,0.4857606,0.58483016,-0.059438262,-0.4103839,-0.8574596,0.30465597,downstairs
4.3598413,6.2847795,7.311892,0.20320415,0.027927876,1.3002791,3.680191,6.443599,6.4114447,0.6040049,-0.03834952,1.4737934,-0.06254488,-0.41133374,-0.8484455,0.32715914,downstairs
4.6016555,6.727707,5.4683566,0.32152414,0.59923935,-0.8793011,4.2801313,6.1284676,6.3476577,-0.42663842,-0.3584615,1.9052255,-0.08751622,-0.4107316,-0.83600533,0.35317934,downstairs
4.793192,5.547365,6.7588315,-0.21950006,-0.07465124,0.4790039,5.012692,5.6220164,6.2798276,0.48948902,-0.80107886,2.0756679,-0.12571613,-0.4049856,-0.82425815,0.37520742,downstairs
5.3845596,6.007052,5.12838,-0.64805317,0.58980465,-0.588542,5.6998186,5.3980937,5.8773336,0.96566224,-0.42237735,1.6250609,-0.15256692,-0.42452952,-0.7928125,0.40981287,downstairs
5.070919,6.0022635,6.1507044,-1.4785161,0.8701229,0.57114077,6.0947747,5.254583,5.6047716,0.928378,0.30466563,1.3017532,-0.15949996,-0.43450654,-0.7747171,0.43078682,downstairs
6.7324953,6.0860605,7.9583263,0.5198765,0.8241744,2.4914885,6.212619,5.261886,5.466838,1.0077401,0.31957933,0.716923,-0.15608945,-0.4437397,-0.7614689,0.44597805,downstairs
5.9543796,5.8107276,6.277597,-0.21559477,0.5052595,0.7680454,6.1699743,5.32941,5.4496965,0.27483824,0.45593318,0.6263755,-0.14189221,-0.44945455,-0.75070786,0.46292007,downstairs
6.4619503,4.4364557,6.1004257,0.3755312,-0.5982523,0.50417614,6.191764,5.154418,5.591461,-0.22530343,0.6311692,0.5001417,-0.13881607,-0.43999383,-0.7451128,0.48160422,downstairs
6.129156,3.4093432,5.9783216,0.023275852,-1.515933,0.093571186,6.1058803,4.9252763,5.8847504,-0.13741912,0.7435546,0.3073288,-0.13468999,-0.4264034,-0.7451886,0.49470478,downstairs
5.3462524,3.9600096,6.090849,-0.5582547,-0.8879833,-0.033819675,5.9003477,4.7976527,6.191834,-0.14008227,1.2213258,0.28708878,-0.12295853,-0.41132167,-0.74661523,0.5081942,downstairs
4.9655743,4.596867,6.9767036,-0.594574,-0.15245724,0.39236593,5.603244,4.624826,6.586732,-0.2775014,1.2245215,0.41545314,-0.10703185,-0.3907868,-0.74754894,0.5263084,downstairs
4.9679685,4.9703627,7.0006456,-0.25986052,0.6741667,0.06635189,5.266136,4.3991466,7.0061197,-0.608266,1.2729911,0.35633096,-0.09020675,-0.36178643,-0.74970585,0.5467307,downstairs
4.795586,4.2185836,7.603985,-0.12533092,0.19009542,0.13898277,4.920917,4.028488,7.465002,-0.6332997,0.77924097,0.37071204,-0.08481099,-0.33495957,-0.7544808,0.55800366,downstairs
5.207389,3.7852328,7.4028716,0.32664347,4.78E-04,-0.108849525,4.734699,3.8302448,7.6864977,-0.1107875,0.50333744,0.34834146,-0.07960937,-0.31899852,-0.7540819,0.5685621,downstairs
4.0821137,2.9735985,8.51857,-0.2123313,-0.54385257,0.5565486,4.663152,3.7377176,7.775273,0.30253512,0.30839407,0.7041398,-0.075040065,-0.3129543,-0.74809253,0.5803329,downstairs
5.1571107,3.8426938,9.085996,0.24185562,-0.64530325,1.414556,4.795499,3.7989545,7.6643023,1.1994878,-0.084155895,0.9965549,-0.068420686,-0.32333878,-0.7265209,0.6024435,downstairs
3.1004913,4.975151,8.180987,-1.9980476,1.0570171,0.7766967,5.098539,3.918134,7.4042907,0.34780884,-1.5781893,1.0018812,-0.070308745,-0.34284535,-0.70838094,0.6129521,downstairs
2.2505496,3.6343982,3.6248214,-0.9550104,0.5877888,-8.72179,6.2270427,3.7481105,6.583768,2.0682108,-3.9265647,1.5073493,-0.12331371,-0.38615412,-0.6873437,0.60269177,downstairs
9.981427,1.9967642,-2.908955,2.7270246,-2.4255188,-2.3836148,7.3429875,4.1325846,5.0172367,2.0943098,-1.8913771,-0.8543421,-0.15729095,-0.4801958,-0.6406273,0.57815933,downstairs
9.126697,6.694188,2.6072857,1.5826325,1.4979348,-0.8575487,7.553641,4.5857315,4.2525268,-0.64821345,-1.0210559,1.3534185,-0.14656855,-0.5115654,-0.62170523,0.5747184,downstairs
8.453926,2.2601264,4.6710877,1.1108313,-1.6408114,1.2745228,8.087691,3.9344566,3.908924,0.267914,-1.2969595,1.3177321,-0.18747018,-0.51532054,-0.60086,0.5816073,downstairs
11.892,1.8938135,2.6072857,2.940899,-1.854703,-0.8313894,8.486626,3.6216238,3.3213592,0.053263225,-1.0860372,-0.20772657,-0.21494046,-0.5333464,-0.5791104,0.57790434,downstairs
6.5481415,1.5610195,6.6893997,-2.2969146,-3.6947546,5.091996,8.593665,3.8144648,2.7873213,0.5816344,-1.6522251,-1.1142666,-0.22994332,-0.55667377,-0.5804892,0.54797137,downstairs
