AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
3.0723693,8.96388,-2.9461112,2.8525538,3.7190056,0.08941889,2.2767754,8.84338,-3.5750966,0.21381436,-0.3346785,-0.7405333,0.56334317,-0.60258365,-0.29711387,0.48089585,downstairs
2.0471046,5.2844253,-3.9234664,0.7456068,5.4851236,-5.390653,2.1724863,8.865004,-3.586418,0.31181863,-0.5487965,-0.7224238,0.5824131,-0.5947043,-0.30951726,0.45969653,downstairs
-0.13757198,5.8401766,-4.1486416,-2.1117492,-3.0295029,-0.5805447,1.5328866,8.86922,-3.893275,0.029523779,0.1468206,-0.33360258,0.590815,-0.59099925,-0.31594682,0.44926062,downstairs
0.5666987,9.126773,-5.025387,-0.66607285,0.5434513,-1.751329,1.4765763,8.903207,-3.8370576,-0.895125,-0.41989958,8.90E-04,0.5931578,-0.5838837,-0.31958976,0.45288634,downstairs
3.311917,9.955608,-4.1486416,1.8729118,-2.4884672,-0.35914493,1.4135466,9.062482,-3.470404,-1.226422,-0.24200058,-0.56583005,0.5847121,-0.5767494,-0.33400956,0.46250358,downstairs
-0.5016847,7.363701,-3.7078733,-0.7200421,-2.4803934,1.7746716,0.9635311,9.302031,-2.9519875,-1.1241567,-0.7906113,-0.6467901,0.5777921,-0.5643087,-0.36435297,0.46363658,downstairs
0.66251785,8.470411,-3.770156,0.33576924,-1.231801,-0.7167125,0.7405548,9.502727,-2.3065448,-2.172376,-0.7234997,0.39503768,0.55916464,-0.5585066,-0.3974669,0.46628886,downstairs
2.9382224,12.346295,4.5421543,2.628212,1.8480606,4.402158,0.7735481,9.673015,-1.4159067,-1.8442749,-0.4454659,-0.5796785,0.52453566,-0.54884285,-0.43296394,0.48597953,downstairs
1.1224498,14.37287,-1.3315587,0.30043903,4.554988,-1.6621087,0.081435375,9.758874,-0.9633929,-0.29325104,0.73271555,-1.9613253,0.5330618,-0.514747,-0.46238825,0.4869063,downstairs
-0.12799005,8.81057,-0.75664383,-0.10690692,-1.2422342,-0.22624588,-0.4331861,9.757462,-0.88014936,-0.15689735,-0.22708689,0.2746629,0.54779834,-0.49559984,-0.47506917,0.4781287,downstairs
0.26965937,8.877643,-0.38774014,0.43999344,-0.98777103,0.2731341,-0.41269118,9.759504,-0.8672687,-0.063154146,-0.30698165,0.23737867,0.54194736,-0.49903288,-0.47531772,0.4809701,downstairs
-0.49689376,3.3584604,0.4506774,-0.49829963,-2.598815,0.61241055,-0.2069255,9.769636,-0.82570404,-0.085524686,0.47066072,0.2863808,0.5413386,-0.49922737,-0.4697751,0.48686332,downstairs
-0.68853205,6.5971475,-2.6011622,0.6713412,-3.4241705,-1.7089299,-0.09741592,9.77534,-0.7769288,-0.2229437,0.15214692,0.16387548,0.5431773,-0.49512035,-0.46205363,0.49630705,downstairs
