AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
0.52837104,-0.939028,10.8470545,-1.7496934,-3.9030771,-2.2948003,-0.7172173,2.9157255,9.335659,-3.34097,-6.274588,-4.8737555,0.07351773,-0.12572737,-0.9334247,0.32788116,downstairs
-1.0909724,-0.71385306,14.660656,-1.3908124,-2.2454991,4.819208,0.36726648,1.4923577,9.6854725,-1.5502621,1.3676126,-4.963238,-0.004108292,-0.08694735,-0.9707002,0.22397402,downstairs
-4.6746087,-4.1345963,12.816138,-2.2598627,-5.3120933,3.244194,-0.83903617,1.1437931,9.703511,1.5571116,3.1231668,-4.952585,0.041554116,-0.053893737,-0.9922092,0.10435352,downstairs
0.38464236,-1.0492201,6.894515,2.6735127,-2.7068393,-2.15593,-2.0062356,1.6708245,9.452711,3.0729818,2.7279541,-3.7094228,0.09877102,-0.077732354,-0.9914895,0.03391918,downstairs
-5.0291395,-2.611072,7.158017,-1.6735046,-3.0436773,-4.7711873,-2.7077048,1.8549956,9.241088,-1.5321527,-2.2883718,-0.68833536,-0.13920547,0.10322206,0.98441666,0.029846963,downstairs
-5.671128,0.22996548,9.452886,-1.4820592,-1.6610672,2.0821018,-2.6033518,1.1490362,9.384704,-0.19205104,3.9572682,1.0842632,-0.12621368,0.060881495,0.9900453,0.013185851,downstairs
-2.6528244,2.1032298,9.596615,-0.81831765,0.5311456,-0.04593849,-4.112656,1.226541,8.817713,-0.38912475,5.1706033,1.7905328,0.20702733,-0.05928986,-0.97636,0.018587327,downstairs
-5.527399,2.4577606,6.803487,1.7403021,3.0832474,-3.8735542,-6.0219994,3.6096873,6.846611,4.4024305,1.6488422,2.6576574,0.3512498,-0.14952266,-0.91818625,0.10583266,downstairs
-4.5739985,6.022233,6.3818827,1.0192375,1.8383908,0.18310642,-6.044311,4.167574,6.501386,5.0320015,3.7633903,2.7673795,0.36082655,-0.17856964,-0.90835595,0.11316618,downstairs
-4.4398518,7.9386153,3.4402347,1.8043923,0.5233774,0.56253195,-6.1056,6.807389,3.5428107,3.0751123,3.0251625,2.8099902,0.47005686,-0.364271,-0.7826156,0.18402722,downstairs
