AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos
1.0410035,8.676422,-1.4992422,0.090269595,-0.4399767,-0.7708302,-0.3961026,9.771844,-0.7242661,-0.15623139,-0.20931722,0.094928615,0.17588633,-0.7114765,-0.6666033,0.13603377
-4.4494333,10.209529,-2.6634448,-3.9998102,0.17934322,-2.0402493,-0.6480764,9.771529,-0.51731443,-0.65903574,-0.062310856,-0.123450406,0.17916507,-0.7037675,-0.67571276,0.12658358
-0.77956027,8.432084,-0.4116949,0.12592345,-1.0661631,-0.42630887,-0.68442655,9.778147,-0.29964983,-0.7336042,-0.75153637,-0.08936197,0.1793243,-0.69836366,-0.68144315,0.12556356
-0.0561257,11.038364,0.62315184,-3.8253767,0.19088173,1.7402169,-0.63368744,9.785425,-0.1195151,0.09836661,0.86553365,0.7031941,0.17475939,-0.69015324,-0.68913645,0.1350504
-1.6467234,11.81929,0.7668805,-3.7241824,1.2572765,0.70881706,-0.32631853,9.8009205,-0.07669214,-0.28299773,0.14967658,1.1250384,0.17616133,-0.6876608,-0.68774235,0.15198772
0.88290185,10.631133,0.35485822,1.0323118,1.0519152,0.0242697,0.2572857,9.800975,0.21234946,-0.8145642,-0.4521973,0.34100452,0.15072875,-0.6840699,-0.6929981,0.17053697
0.8445742,10.41554,1.1309932,-0.52894044,1.3474035,1.3028262,0.36464918,9.774023,0.71126026,-0.9519832,-0.59174687,-0.05101249,0.13317482,-0.6707579,-0.70987433,0.16860217
-0.34358314,11.632443,1.9310831,-1.2590767,1.9634905,0.76026225,0.349125,9.752454,0.96858233,-1.0201601,-0.58215946,-0.10960198,0.12492993,-0.66099435,-0.72162414,0.16351639
-2.9834003,10.473031,0.10572846,-2.9591596,1.1538801,-0.68392766,0.2540832,9.707584,1.3669838,-1.2417349,-0.3712373,-0.31839362,0.11947716,-0.6467729,-0.7366314,0.15742974
-0.6310406,6.0557694,1.9933655,-2.4137564,-3.0567923,3.3393834,0.12759306,9.588357,2.0536606,-0.5844673,0.29242188,-0.016924053,0.11559365,-0.6231446,-0.75821656,0.15308985
